epoch,accuracy,learning_rate,loss,precision,recall,top_k_categorical_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top_k_categorical_accuracy
0,0.2851351499557495,9.999999747378752e-05,1.7621804475784302,0.6875,0.014864864759147167,0.8986486196517944,0.25,1.8424804210662842,0.4000000059604645,0.10000000149011612,0.862500011920929
1,0.5625,9.999999747378752e-05,1.2904164791107178,1.0,0.0625,1.0,0.23749999701976776,1.8453350067138672,0.4000000059604645,0.10000000149011612,0.8500000238418579
2,0.5486486554145813,9.999999747378752e-05,1.1960208415985107,0.8457943797111511,0.24459458887577057,0.9797297120094299,0.36250001192092896,1.704894781112671,0.4285714328289032,0.1875,0.925000011920929
3,0.6875,9.999999747378752e-05,1.033278465270996,0.8571428656578064,0.375,1.0,0.36250001192092896,1.6865854263305664,0.47058823704719543,0.20000000298023224,0.9375
4,0.7148648500442505,9.999999747378752e-05,0.8075058460235596,0.9205297827720642,0.5635135173797607,0.9945945739746094,0.44999998807907104,1.4885828495025635,0.6000000238418579,0.3375000059604645,0.9624999761581421
5,0.625,9.999999747378752e-05,0.8791784644126892,1.0,0.4375,1.0,0.44999998807907104,1.4829771518707275,0.6000000238418579,0.3375000059604645,0.9624999761581421
6,0.8270270228385925,9.999999747378752e-05,0.5743812322616577,0.9498141407966614,0.6905405521392822,0.995945930480957,0.4625000059604645,1.511638879776001,0.5555555820465088,0.3125,0.9624999761581421
7,0.8125,9.999999747378752e-05,0.6103522777557373,1.0,0.625,1.0,0.4625000059604645,1.4905115365982056,0.5555555820465088,0.3125,0.9624999761581421
8,0.8986486196517944,9.999999747378752e-05,0.39675799012184143,0.9421221613883972,0.791891872882843,1.0,0.612500011920929,1.154653787612915,0.7200000286102295,0.44999998807907104,0.949999988079071
9,1.0,9.999999747378752e-05,0.3799726366996765,1.0,0.8125,1.0,0.612500011920929,1.1508395671844482,0.7254902124404907,0.4625000059604645,0.949999988079071
10,0.9527027010917664,9.999999747378752e-05,0.24457360804080963,0.9723032116889954,0.9013513326644897,1.0,0.550000011920929,1.3324471712112427,0.6349206566810608,0.5,0.9375
11,1.0,9.999999747378752e-05,0.14028185606002808,1.0,0.9375,1.0,0.550000011920929,1.3335565328598022,0.640625,0.512499988079071,0.9375
12,0.9689189195632935,9.999999747378752e-05,0.1738191545009613,0.9845722317695618,0.9486486315727234,0.9986486434936523,0.637499988079071,1.1628835201263428,0.6612903475761414,0.512499988079071,0.9750000238418579
13,0.6875,4.999999873689376e-05,0.7644352912902832,0.8333333134651184,0.625,1.0,0.625,1.1624468564987183,0.65625,0.5249999761581421,0.9750000238418579
14,0.9783783555030823,4.999999873689376e-05,0.1489252746105194,0.9861687421798706,0.9635134935379028,1.0,0.7250000238418579,1.138684868812561,0.734375,0.5874999761581421,0.949999988079071
15,1.0,4.999999873689376e-05,0.10514822602272034,1.0,1.0,1.0,0.7250000238418579,1.1410560607910156,0.734375,0.5874999761581421,0.949999988079071
16,0.9810810685157776,4.999999873689376e-05,0.11796257644891739,0.9835391044616699,0.9689189195632935,0.9986486434936523,0.7250000238418579,1.1746398210525513,0.7230769395828247,0.5874999761581421,0.9624999761581421
17,1.0,4.999999873689376e-05,0.03915552794933319,1.0,1.0,1.0,0.7124999761581421,1.172034502029419,0.7272727489471436,0.6000000238418579,0.9624999761581421
18,0.9918919205665588,2.499999936844688e-05,0.07949873805046082,0.994557797908783,0.9878378510475159,1.0,0.699999988079071,1.1104769706726074,0.7101449370384216,0.612500011920929,0.9624999761581421
19,1.0,2.499999936844688e-05,0.0630519688129425,1.0,1.0,1.0,0.6875,1.1110167503356934,0.7101449370384216,0.612500011920929,0.9624999761581421
20,0.9986486434936523,2.499999936844688e-05,0.061859387904405594,1.0,0.9905405640602112,1.0,0.7250000238418579,1.1318166255950928,0.739130437374115,0.637499988079071,0.9624999761581421
21,1.0,2.499999936844688e-05,0.022976715117692947,1.0,1.0,1.0,0.737500011920929,1.133366584777832,0.7352941036224365,0.625,0.9624999761581421
22,0.9945945739746094,1.249999968422344e-05,0.06253653764724731,0.998641312122345,0.9932432174682617,1.0,0.699999988079071,1.1206493377685547,0.7464788556098938,0.6625000238418579,0.9624999761581421
23,1.0,1.249999968422344e-05,0.05924778804183006,1.0,1.0,1.0,0.699999988079071,1.1183013916015625,0.7464788556098938,0.6625000238418579,0.9624999761581421
24,0.9972972869873047,1.249999968422344e-05,0.05859209597110748,0.998641312122345,0.9932432174682617,1.0,0.737500011920929,1.0769970417022705,0.7397260069847107,0.675000011920929,0.9624999761581421
25,0.9375,1.249999968422344e-05,0.18008267879486084,0.9375,0.9375,1.0,0.737500011920929,1.077789306640625,0.7397260069847107,0.675000011920929,0.9624999761581421
26,0.9972972869873047,1.249999968422344e-05,0.05200351029634476,0.9972899556159973,0.9945945739746094,1.0,0.7250000238418579,1.062867522239685,0.7432432174682617,0.6875,0.9624999761581421
27,1.0,1.249999968422344e-05,0.030950795859098434,1.0,1.0,1.0,0.7250000238418579,1.0627756118774414,0.7432432174682617,0.6875,0.9624999761581421
28,0.995945930480957,1.249999968422344e-05,0.05174002796411514,0.9972936511039734,0.995945930480957,1.0,0.7124999761581421,1.0756021738052368,0.7333333492279053,0.6875,0.9624999761581421
29,1.0,1.249999968422344e-05,0.07383044064044952,1.0,1.0,1.0,0.7124999761581421,1.0765494108200073,0.7333333492279053,0.6875,0.9624999761581421
30,0.9905405640602112,9.999999747378752e-06,0.06544491648674011,0.9932249188423157,0.9905405640602112,1.0,0.737500011920929,1.0653022527694702,0.7638888955116272,0.6875,0.9624999761581421
31,1.0,9.999999747378752e-06,0.08050622045993805,1.0,0.9375,1.0,0.75,1.0659921169281006,0.7605633735656738,0.675000011920929,0.9624999761581421
32,0.9932432174682617,9.999999747378752e-06,0.052956368774175644,0.9945429563522339,0.9851351380348206,1.0,0.75,1.0225175619125366,0.7777777910232544,0.699999988079071,0.9624999761581421
33,0.9375,9.999999747378752e-06,0.0929633378982544,0.9375,0.9375,1.0,0.75,1.021863341331482,0.7777777910232544,0.699999988079071,0.9624999761581421
34,0.995945930480957,9.999999747378752e-06,0.041064903140068054,0.9972936511039734,0.995945930480957,1.0,0.75,1.0075217485427856,0.7746478915214539,0.6875,0.9624999761581421
35,0.9375,9.999999747378752e-06,0.16099059581756592,0.9375,0.9375,1.0,0.75,1.007672667503357,0.7746478915214539,0.6875,0.9624999761581421
36,0.9864864945411682,9.999999747378752e-06,0.06278423964977264,0.9904631972312927,0.9824324250221252,1.0,0.737500011920929,1.0079996585845947,0.7857142686843872,0.6875,0.9624999761581421
37,1.0,9.999999747378752e-06,0.022654658183455467,1.0,1.0,1.0,0.737500011920929,1.008095383644104,0.7857142686843872,0.6875,0.9624999761581421
38,0.9972972869873047,9.999999747378752e-06,0.04407418891787529,0.9986467957496643,0.9972972869873047,1.0,0.7124999761581421,1.0632565021514893,0.7397260069847107,0.675000011920929,0.9750000238418579
39,1.0,9.999999747378752e-06,0.019750425592064857,1.0,1.0,1.0,0.7124999761581421,1.0643017292022705,0.7397260069847107,0.675000011920929,0.9750000238418579
40,0.995945930480957,9.999999747378752e-06,0.05620679631829262,0.9972936511039734,0.995945930480957,0.9972972869873047,0.7250000238418579,1.0009701251983643,0.7887324094772339,0.699999988079071,0.9750000238418579
41,1.0,9.999999747378752e-06,0.04981696605682373,1.0,1.0,1.0,0.7250000238418579,1.0001028776168823,0.7887324094772339,0.699999988079071,0.9750000238418579
42,0.9945945739746094,9.999999747378752e-06,0.04925147444009781,0.9945873022079468,0.9932432174682617,1.0,0.737500011920929,0.9561400413513184,0.7777777910232544,0.699999988079071,0.987500011920929
43,1.0,9.999999747378752e-06,0.02879452519118786,1.0,1.0,1.0,0.737500011920929,0.9548739194869995,0.7777777910232544,0.699999988079071,0.987500011920929
44,0.9918919205665588,9.999999747378752e-06,0.04685034230351448,0.9945725798606873,0.9905405640602112,1.0,0.737500011920929,0.9094018936157227,0.7702702879905701,0.7124999761581421,0.987500011920929
45,1.0,9.999999747378752e-06,0.01692519336938858,1.0,1.0,1.0,0.737500011920929,0.9081102609634399,0.7702702879905701,0.7124999761581421,0.987500011920929
46,0.9972972869873047,9.999999747378752e-06,0.04124943166971207,0.9972972869873047,0.9972972869873047,1.0,0.7250000238418579,0.9165247082710266,0.7599999904632568,0.7124999761581421,0.987500011920929
47,1.0,9.999999747378752e-06,0.00854562595486641,1.0,1.0,1.0,0.7250000238418579,0.9166824221611023,0.7599999904632568,0.7124999761581421,0.987500011920929
48,0.9932432174682617,9.999999747378752e-06,0.03805166110396385,0.9972826242446899,0.9918919205665588,1.0,0.7250000238418579,0.846636950969696,0.7702702879905701,0.7124999761581421,0.987500011920929
49,1.0,9.999999747378752e-06,0.1008772999048233,1.0,0.9375,1.0,0.7250000238418579,0.8465275764465332,0.7702702879905701,0.7124999761581421,0.987500011920929
